"date","datatype","station","attributes","value"
"2020-03-17T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-17T00:00:00","TMAX","GHCND:ASN00085279",",,a,",26.7
"2020-03-17T00:00:00","TMIN","GHCND:ASN00085279",",,a,",7.8
"2020-03-18T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-18T00:00:00","TMAX","GHCND:ASN00085279",",,a,",29.9
"2020-03-18T00:00:00","TMIN","GHCND:ASN00085279",",,a,",11.6
"2020-03-19T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-19T00:00:00","TMAX","GHCND:ASN00085279",",,a,",31.2
"2020-03-19T00:00:00","TMIN","GHCND:ASN00085279",",,a,",16.9
"2020-03-20T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.8
"2020-03-20T00:00:00","TMAX","GHCND:ASN00085279",",,a,",24.8
"2020-03-20T00:00:00","TMIN","GHCND:ASN00085279",",,a,",12.5
"2020-03-21T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-21T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.9
"2020-03-21T00:00:00","TMIN","GHCND:ASN00085279",",,a,",13.3
"2020-03-22T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-22T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.8
"2020-03-22T00:00:00","TMIN","GHCND:ASN00085279",",,a,",8.9
"2020-03-23T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-23T00:00:00","TMAX","GHCND:ASN00085279",",,a,",18.9
"2020-03-23T00:00:00","TMIN","GHCND:ASN00085279",",,a,",7
"2020-03-24T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-24T00:00:00","TMAX","GHCND:ASN00085279",",,a,",17.9
"2020-03-24T00:00:00","TMIN","GHCND:ASN00085279",",,a,",5.9
"2020-03-25T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-25T00:00:00","TMAX","GHCND:ASN00085279",",,a,",17.6
"2020-03-25T00:00:00","TMIN","GHCND:ASN00085279",",,a,",10.1
"2020-03-26T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-26T00:00:00","TMAX","GHCND:ASN00085279",",,a,",21.6
"2020-03-26T00:00:00","TMIN","GHCND:ASN00085279",",,a,",8
"2020-03-27T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-27T00:00:00","TMAX","GHCND:ASN00085279",",,a,",26.1
"2020-03-27T00:00:00","TMIN","GHCND:ASN00085279",",,a,",7.5
"2020-03-28T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-28T00:00:00","TMAX","GHCND:ASN00085279",",,a,",27.4
"2020-03-28T00:00:00","TMIN","GHCND:ASN00085279",",,a,",9.2
"2020-03-29T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-29T00:00:00","TMAX","GHCND:ASN00085279",",,a,",29.7
"2020-03-29T00:00:00","TMIN","GHCND:ASN00085279",",,a,",12.4
"2020-03-30T00:00:00","PRCP","GHCND:ASN00085279",",,a,",4.6
"2020-03-30T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.9
"2020-03-30T00:00:00","TMIN","GHCND:ASN00085279",",,a,",13.5
"2020-03-31T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-31T00:00:00","TMAX","GHCND:ASN00085279",",,a,",22.3
"2020-03-31T00:00:00","TMIN","GHCND:ASN00085279",",,a,",9.7
"2020-04-01T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-04-01T00:00:00","TMAX","GHCND:ASN00085279",",,a,",24.5
"2020-04-01T00:00:00","TMIN","GHCND:ASN00085279",",,a,",11.2
"2020-04-02T00:00:00","PRCP","GHCND:ASN00085279",",,a,",4.6
"2020-04-02T00:00:00","TMAX","GHCND:ASN00085279",",,a,",24.3
"2020-04-02T00:00:00","TMIN","GHCND:ASN00085279",",,a,",14.4
"2020-04-03T00:00:00","PRCP","GHCND:ASN00085279",",,a,",6.8
"2020-04-03T00:00:00","TMAX","GHCND:ASN00085279",",,a,",23.1
"2020-04-03T00:00:00","TMIN","GHCND:ASN00085279",",,a,",12.9
"2020-04-04T00:00:00","PRCP","GHCND:ASN00085279",",,a,",4.8
"2020-04-04T00:00:00","TMAX","GHCND:ASN00085279",",,a,",16.1
"2020-04-04T00:00:00","TMIN","GHCND:ASN00085279",",,a,",13
"2020-04-05T00:00:00","PRCP","GHCND:ASN00085279",",,a,",6.4
